,title,link,date_published,text,like_count,reply_parent_id,source,cleaned_text
16,Matt Taibbi is the GOAT. Racket News subscription is worth every penny.,https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgxaRzbwkOBegkVbNU14AaABAg,2025-09-09 00:39:39,Matt Taibbi is the GOAT. Racket News subscription is worth every penny.,0,,youtube,matt taibbi goat racket news subscription worth penny
17,Rob doing those old voices was a bizarre mix of both awesome because he doesn’t take himself too seriously and engages w fans…but also super duper hacky and sad to see a comedian resort to characters from movies instead of wit. But Rob knows that. He read the room and recognized that the KT crowd type wants surface level silly juvenile teasing…and that is not a shot bc that can be fun especially amongst a group,https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgzyDRXwfEAN9vPgEON4AaABAg,2025-09-08 23:30:32,Rob doing those old voices was a bizarre mix of both awesome because he doesn’t take himself too seriously and engages w fans…but also super duper hacky and sad to see a comedian resort to characters from movies instead of wit. But Rob knows that. He read the room and recognized that the KT crowd type wants surface level silly juvenile teasing…and that is not a shot bc that can be fun especially amongst a group,0,,youtube,rob old voice wa bizarre mix awesome seriously engages w fan also super duper hacky sad comedian resort character movie instead wit rob read room recognized kt crowd type surface level silly juvenile teasing shot bc fun especially amongst group
18,They folded so i left 🌘,https://www.youtube.com/watch?v=PKlkLX8oGoY&lc=UgwhvyjDPUww0yD-75p4AaABAg,2025-09-08 22:48:50,They folded so i left 🌘,0,,youtube,folded left
19,"Matt, it’s become a competition of who has more appealing and focussed lies. That’s what rises to the top. It’s not a competition for truth.. and meanwhile, all the money is being stolen",https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgwFeuL1kjReZrlM1V14AaABAg,2025-09-08 22:01:00,"Matt, it’s become a competition of who has more appealing and focussed lies. That’s what rises to the top. It’s not a competition for truth.. and meanwhile, all the money is being stolen",1,,youtube,matt become competition appealing focussed lie rise top competition truth meanwhile money stolen
20,It’s sad to see Taibi now.,https://www.youtube.com/watch?v=BB__743Jfm0&lc=Ugx3sAYpvJwtsmoKM5x4AaABAg,2025-09-08 21:28:30,It’s sad to see Taibi now.,2,,youtube,sad taibi
21,"Speech censorship has NEVER &quot;worked&quot; to benefit citizens. It has only ever worked to benefit oligarchs.<br><br>So if free speech stops workin, the answer is not censorship. It&#39;s not going to magically work this time just because you&#39;re prejudiced against some cultures and want to silence them under threat of murder.",https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgzLMNA3_JRVPKDkwJt4AaABAg,2025-09-08 21:24:05,"Speech censorship has NEVER ""worked"" to benefit citizens. It has only ever worked to benefit oligarchs.

So if free speech stops workin, the answer is not censorship. It's not going to magically work this time just because you're prejudiced against some cultures and want to silence them under threat of murder.",0,,youtube,speech censorship worked benefit citizen ever worked benefit oligarch free speech workin answer censorship going magically prejudiced culture silence threat murder
22,Matt is my most trusted journalist.  Thank you for interviewing him!,https://www.youtube.com/watch?v=BB__743Jfm0&lc=Ugy6SW6YfV1kc2hHHfp4AaABAg,2025-09-08 21:20:54,Matt is my most trusted journalist.  Thank you for interviewing him!,1,,youtube,matt trusted journalist interviewing
23,Fantastic interview and very timely.,https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgzkRg68MyflVHkcYBR4AaABAg,2025-09-08 21:15:07,Fantastic interview and very timely.,0,,youtube,fantastic interview timely
24,Do you think it may be impossible and we should go back to more speech?  Like when we had 150 newspapers in USA? All different views that did not agree. Everyone has bias,https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgxTeZvkFUAknAbhRdl4AaABAg,2025-09-08 20:24:29,Do you think it may be impossible and we should go back to more speech?  Like when we had 150 newspapers in USA? All different views that did not agree. Everyone has bias,0,,youtube,may impossible speech newspaper usa different view agree everyone bias
25,"Great ⭐️ Imterview!<br>Question overall OK answers Better to Great! While this Anti Freedom of Speech interviewer, who step by step is coming closer and closer to a Promoter for a Total Authoritarian UK press and Zer000 freedom of Speech!!! Sad to see this TRANSition from Independent TOtal FAKE level of Reporter!",https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgyjsZTofH9HGCxy34J4AaABAg,2025-09-08 18:29:00,"Great ⭐️ Imterview!
Question overall OK answers Better to Great! While this Anti Freedom of Speech interviewer, who step by step is coming closer and closer to a Promoter for a Total Authoritarian UK press and Zer000 freedom of Speech!!! Sad to see this TRANSition from Independent TOtal FAKE level of Reporter!",0,,youtube,great imterview question overall ok answer better great anti freedom speech interviewer step step coming closer closer promoter total authoritarian uk press zer freedom speech sad transition independent total fake level reporter
